Date,Sleep Hours,Mood (1-5),Productivity (1-5),Social Media (min),Work Apps (min),Entertainment (min),Total Screen Time (min),Day,Month,Weekend
2024-11-06,8.4,2.8,1.8,115,146,138,400,Wednesday,November,False
2024-11-07,7.3,4.4,2.8,126,187,108,421,Thursday,November,False
2024-11-08,7.8,1.0,3.8,161,258,149,569,Friday,November,False
2024-11-09,8.6,3.2,3.6,95,311,100,507,Saturday,November,True
2024-11-10,9.4,2.9,4.4,20,210,145,376,Sunday,November,True
2024-11-11,7.1,4.1,1.9,103,150,95,349,Monday,November,False
2024-11-12,6.5,1.5,2.9,163,286,55,505,Tuesday,November,False
2024-11-13,5.0,1.0,3.4,17,259,125,403,Wednesday,November,False
2024-11-14,6.5,1.8,2.4,2,153,93,249,Thursday,November,False
2024-11-15,7.4,2.5,4.0,0,192,50,243,Friday,November,False
2024-11-16,7.0,2.5,1.2,63,286,137,488,Saturday,November,True
2024-11-17,5.3,1.0,1.0,74,215,110,401,Sunday,November,True
2024-11-18,7.3,4.3,2.6,99,230,144,474,Monday,November,False
2024-11-19,6.9,2.6,2.0,0,330,119,449,Tuesday,November,False
2024-11-20,7.7,2.7,5.0,151,224,166,542,Wednesday,November,False
2024-11-21,9.3,4.0,3.8,26,261,100,388,Thursday,November,False
2024-11-22,7.3,3.3,3.1,105,232,180,518,Friday,November,False
2024-11-23,7.5,3.0,3.9,109,282,0,391,Saturday,November,True
2024-11-24,7.3,3.6,3.2,75,61,122,259,Sunday,November,True
2024-11-25,5.2,3.7,3.6,0,216,96,313,Monday,November,False
2024-11-26,7.4,2.8,2.7,50,210,106,367,Tuesday,November,False
2024-11-27,6.3,2.0,2.3,67,160,116,344,Wednesday,November,False
2024-11-28,5.8,1.0,3.3,96,207,99,402,Thursday,November,False
2024-11-29,8.8,3.2,5.0,105,186,167,459,Friday,November,False
2024-11-30,6.0,2.7,1.0,218,190,135,545,Saturday,November,True
2024-12-01,4.4,1.8,1.0,0,160,129,290,Sunday,December,True
2024-12-02,7.6,3.0,4.2,21,153,117,291,Monday,December,False
2024-12-03,8.8,5.0,4.0,14,292,224,532,Tuesday,December,False
2024-12-04,8.2,4.6,3.6,56,69,153,279,Wednesday,December,False
2024-12-05,6.0,1.4,3.5,116,330,121,569,Thursday,December,False
2024-12-06,7.9,4.6,2.3,80,300,178,559,Friday,December,False
2024-12-07,7.2,3.6,3.0,111,149,115,376,Saturday,December,True
2024-12-08,9.0,4.1,4.5,80,273,110,464,Sunday,December,True
2024-12-09,5.9,1.0,4.8,0,277,145,423,Monday,December,False
2024-12-10,5.7,3.7,2.3,125,129,138,393,Tuesday,December,False
2024-12-11,7.6,4.8,4.6,9,356,130,496,Wednesday,December,False
2024-12-12,7.7,2.6,3.0,122,250,166,539,Thursday,December,False
2024-12-13,8.2,4.2,2.8,80,234,101,416,Friday,December,False
2024-12-14,6.5,3.3,2.7,47,177,161,387,Saturday,December,True
2024-12-15,8.7,3.1,4.1,9,189,168,367,Sunday,December,True
2024-12-16,7.0,3.0,2.4,115,153,85,355,Monday,December,False
2024-12-17,8.1,3.0,5.0,20,179,68,268,Tuesday,December,False
2024-12-18,6.7,2.5,1.6,0,283,134,417,Wednesday,December,False
2024-12-19,9.1,5.0,5.0,102,231,171,505,Thursday,December,False
2024-12-20,6.2,2.8,2.7,57,308,142,508,Friday,December,False
2024-12-21,5.8,2.4,2.0,0,270,85,356,Saturday,December,True
2024-12-22,6.0,4.6,4.0,81,303,113,498,Sunday,December,True
2024-12-23,7.6,1.8,4.2,156,178,112,447,Monday,December,False
2024-12-24,6.6,1.3,3.6,21,207,83,312,Tuesday,December,False
2024-12-25,7.3,3.2,2.9,87,223,154,466,Wednesday,December,False
2024-12-26,6.0,1.8,3.2,87,266,96,451,Thursday,December,False
2024-12-27,6.6,3.6,3.2,76,181,88,345,Friday,December,False
2024-12-28,8.1,3.0,3.7,63,227,89,380,Saturday,December,True
2024-12-29,8.2,2.1,4.0,0,181,127,309,Sunday,December,True
2024-12-30,6.5,4.5,3.3,46,210,141,398,Monday,December,False
2024-12-31,9.8,4.8,4.9,6,214,245,466,Tuesday,December,False
2025-01-01,9.2,3.4,5.0,20,303,151,475,Wednesday,January,False
2025-01-02,6.4,2.0,2.5,54,222,101,379,Thursday,January,False
2025-01-03,6.6,2.2,3.1,98,337,174,610,Friday,January,False
2025-01-04,7.3,4.0,2.3,105,183,173,462,Saturday,January,True
2025-01-05,5.6,2.3,3.9,35,262,191,489,Sunday,January,True
2025-01-06,7.3,4.0,5.0,0,152,188,340,Monday,January,False
2025-01-07,6.8,2.5,2.2,79,272,88,441,Tuesday,January,False
2025-01-08,7.2,3.4,3.6,40,164,122,327,Wednesday,January,False
2025-01-09,8.6,5.0,4.4,42,212,116,371,Thursday,January,False
2025-01-10,9.4,4.1,3.9,0,283,23,306,Friday,January,False
2025-01-11,7.3,4.1,2.9,58,222,209,490,Saturday,January,True
2025-01-12,6.4,1.0,3.7,137,283,133,554,Sunday,January,True
2025-01-13,7.2,3.2,3.7,0,280,61,342,Monday,January,False
2025-01-14,6.6,3.7,4.4,93,214,113,421,Tuesday,January,False
2025-01-15,6.6,4.3,3.4,65,262,148,475,Wednesday,January,False
2025-01-16,8.0,5.0,3.5,31,230,198,460,Thursday,January,False
2025-01-17,8.8,3.2,3.5,75,210,165,451,Friday,January,False
2025-01-18,7.8,4.1,4.5,173,270,223,668,Saturday,January,True
2025-01-19,5.2,3.0,3.2,41,250,152,444,Sunday,January,True
2025-01-20,7.1,2.9,3.3,96,274,177,547,Monday,January,False
2025-01-21,7.4,4.8,2.2,69,188,124,382,Tuesday,January,False
2025-01-22,8.7,5.0,2.9,88,267,95,451,Wednesday,January,False
2025-01-23,7.7,3.4,5.0,43,272,135,451,Thursday,January,False
2025-01-24,8.2,3.6,3.5,21,97,66,186,Friday,January,False
2025-01-25,7.3,1.6,3.0,30,218,72,322,Saturday,January,True
2025-01-26,6.3,2.6,2.0,121,303,108,533,Sunday,January,True
2025-01-27,6.8,3.1,3.9,71,306,79,457,Monday,January,False
2025-01-28,7.5,3.7,1.8,146,253,98,499,Tuesday,January,False
2025-01-29,8.2,2.2,4.3,110,311,227,649,Wednesday,January,False
2025-01-30,7.8,3.1,4.7,71,279,118,469,Thursday,January,False
2025-01-31,6.8,2.6,4.5,85,299,143,529,Friday,January,False
2025-02-01,7.0,1.1,2.7,74,136,132,343,Saturday,February,True
2025-02-02,8.5,3.1,3.1,44,268,186,499,Sunday,February,True
2025-02-03,7.8,3.7,1.7,80,283,75,439,Monday,February,False
2025-02-04,7.9,1.0,2.3,63,243,106,413,Tuesday,February,False
2025-02-05,8.8,4.9,3.4,40,328,134,503,Wednesday,February,False
2025-02-06,6.1,2.9,1.7,93,94,45,233,Thursday,February,False
2025-02-07,6.9,4.6,3.7,56,226,29,313,Friday,February,False
2025-02-08,8.6,3.8,3.7,98,164,162,424,Saturday,February,True
2025-02-09,5.7,2.7,3.3,19,280,179,479,Sunday,February,True
2025-02-10,9.6,3.9,4.9,0,173,152,325,Monday,February,False
2025-02-11,7.6,2.8,4.1,33,170,138,342,Tuesday,February,False
2025-02-12,7.3,3.0,3.8,70,191,36,297,Wednesday,February,False
2025-02-13,7.6,4.8,3.6,58,258,187,503,Thursday,February,False
2025-02-14,8.6,3.4,2.1,152,293,89,535,Friday,February,False
2025-02-15,8.1,3.5,5.0,29,185,82,297,Saturday,February,True
2025-02-16,7.7,4.7,4.6,42,339,44,426,Sunday,February,True
2025-02-17,8.1,2.5,5.0,55,287,169,512,Monday,February,False
2025-02-18,8.3,3.9,4.4,46,268,89,404,Tuesday,February,False
2025-02-19,7.8,3.7,3.9,101,190,109,400,Wednesday,February,False
2025-02-20,6.4,2.7,2.2,102,261,136,499,Thursday,February,False
2025-02-21,6.3,3.1,2.4,118,274,117,510,Friday,February,False
2025-02-22,7.7,2.9,1.9,82,215,162,459,Saturday,February,True
2025-02-23,8.0,2.1,3.7,99,179,120,399,Sunday,February,True
2025-02-24,8.0,3.7,4.9,61,314,244,620,Monday,February,False
2025-02-25,8.2,3.9,3.9,95,307,137,541,Tuesday,February,False
2025-02-26,5.0,2.4,2.7,16,217,133,367,Wednesday,February,False
2025-02-27,6.4,2.8,3.9,6,142,124,273,Thursday,February,False
2025-02-28,6.2,3.9,2.6,33,171,178,384,Friday,February,False
2025-03-01,4.9,1.2,1.3,106,228,85,420,Saturday,March,True
2025-03-02,7.8,4.1,3.1,58,179,88,325,Sunday,March,True
2025-03-03,7.3,3.3,2.7,53,59,141,254,Monday,March,False
2025-03-04,6.0,2.6,4.1,97,264,166,528,Tuesday,March,False
2025-03-05,9.1,3.0,5.0,53,363,145,562,Wednesday,March,False
2025-03-06,5.3,3.3,2.9,22,264,68,355,Thursday,March,False
2025-03-07,6.8,4.9,2.3,104,93,132,330,Friday,March,False
2025-03-08,6.9,2.0,1.0,82,166,132,381,Saturday,March,True
2025-03-09,8.9,3.0,2.3,57,256,185,498,Sunday,March,True
2025-03-10,8.0,3.9,3.2,46,235,181,463,Monday,March,False
2025-03-11,7.4,3.2,3.5,71,253,124,450,Tuesday,March,False
2025-03-12,7.1,1.4,3.1,143,236,112,493,Wednesday,March,False
2025-03-13,6.4,3.4,3.7,155,211,157,524,Thursday,March,False
2025-03-14,7.6,2.8,2.1,155,208,84,448,Friday,March,False
2025-03-15,6.9,1.1,3.5,114,184,196,496,Saturday,March,True
2025-03-16,7.2,3.6,3.3,0,239,113,352,Sunday,March,True
2025-03-17,7.5,4.7,3.2,0,124,148,272,Monday,March,False
2025-03-18,6.2,3.2,2.9,84,179,117,381,Tuesday,March,False
2025-03-19,5.3,3.0,4.5,14,206,168,389,Wednesday,March,False
2025-03-20,7.2,3.6,3.2,17,357,116,490,Thursday,March,False
2025-03-21,9.0,4.0,3.7,43,285,142,471,Friday,March,False
2025-03-22,6.6,3.3,4.4,47,253,96,397,Saturday,March,True
2025-03-23,7.2,3.7,1.0,167,193,160,521,Sunday,March,True
2025-03-24,5.2,2.0,3.7,0,233,120,353,Monday,March,False
2025-03-25,7.5,3.0,1.9,201,294,121,617,Tuesday,March,False
2025-03-26,6.9,1.9,4.6,19,160,104,283,Wednesday,March,False
2025-03-27,6.5,1.8,2.6,126,300,73,500,Thursday,March,False
2025-03-28,8.7,3.1,3.4,115,294,115,524,Friday,March,False
2025-03-29,7.3,4.1,2.7,0,288,45,333,Saturday,March,True
2025-03-30,6.2,3.4,3.9,45,227,100,373,Sunday,March,True
2025-03-31,8.0,3.8,1.9,67,150,117,335,Monday,March,False
2025-04-01,9.0,1.9,3.4,79,199,117,396,Tuesday,April,False
2025-04-02,8.1,1.9,1.4,102,163,138,404,Wednesday,April,False
2025-04-03,7.2,2.1,1.0,122,289,135,547,Thursday,April,False
2025-04-04,7.5,3.6,4.1,63,222,140,426,Friday,April,False
2025-04-05,8.0,2.2,4.3,120,167,136,424,Saturday,April,True
2025-04-06,7.7,2.7,2.8,131,146,110,388,Sunday,April,True
2025-04-07,7.4,4.4,5.0,21,263,153,438,Monday,April,False
2025-04-08,5.9,1.7,3.1,115,314,33,464,Tuesday,April,False
2025-04-09,5.6,3.3,2.2,48,175,64,288,Wednesday,April,False
2025-04-10,7.1,3.7,3.5,135,227,137,500,Thursday,April,False
2025-04-11,5.9,3.9,2.6,29,307,168,505,Friday,April,False
2025-04-12,7.5,2.8,3.9,111,270,131,513,Saturday,April,True
2025-04-13,5.6,2.7,4.2,25,268,44,338,Sunday,April,True
2025-04-14,6.2,2.1,1.1,126,198,135,460,Monday,April,False
2025-04-15,5.8,3.0,4.5,12,366,187,566,Tuesday,April,False
2025-04-16,8.1,5.0,5.0,29,296,200,526,Wednesday,April,False
2025-04-17,6.2,4.5,2.9,82,240,147,470,Thursday,April,False
2025-04-18,8.1,4.8,2.8,116,314,166,596,Friday,April,False
2025-04-19,7.5,2.8,3.3,92,309,103,504,Saturday,April,True
2025-04-20,9.6,4.3,3.3,108,223,148,479,Sunday,April,True
2025-04-21,6.1,1.9,2.8,18,353,145,517,Monday,April,False
2025-04-22,5.4,1.4,2.3,130,298,58,487,Tuesday,April,False
2025-04-23,8.9,4.3,4.1,155,330,127,612,Wednesday,April,False
2025-04-24,6.3,1.4,3.2,129,390,96,616,Thursday,April,False
2025-04-25,8.5,3.9,5.0,54,252,185,492,Friday,April,False
2025-04-26,7.8,4.6,3.9,0,249,141,391,Saturday,April,True
2025-04-27,7.5,2.8,5.0,0,279,105,385,Sunday,April,True
2025-04-28,7.9,2.2,3.7,60,241,164,467,Monday,April,False
2025-04-29,4.6,2.8,2.1,61,272,79,413,Tuesday,April,False
2025-04-30,5.8,1.3,3.4,70,332,31,434,Wednesday,April,False
2025-05-01,7.6,1.0,3.7,54,270,164,489,Thursday,May,False
2025-05-02,6.8,1.1,4.7,41,351,82,475,Friday,May,False
2025-05-03,8.4,4.3,2.5,86,202,139,428,Saturday,May,True
2025-05-04,8.5,5.0,3.5,31,257,111,400,Sunday,May,True
2025-05-05,8.6,2.7,4.1,38,300,113,452,Monday,May,False
2025-05-06,8.5,4.5,3.8,24,247,199,471,Tuesday,May,False
2025-05-07,7.4,3.4,4.1,65,186,130,382,Wednesday,May,False
2025-05-08,7.0,3.2,1.0,134,378,99,612,Thursday,May,False
2025-05-09,5.9,3.5,4.0,91,278,134,504,Friday,May,False
2025-05-10,8.5,5.0,3.4,107,208,151,466,Saturday,May,True
2025-05-11,5.6,2.5,3.3,112,259,121,493,Sunday,May,True
2025-05-12,6.8,4.3,2.0,81,220,108,410,Monday,May,False
2025-05-13,9.3,3.4,5.0,84,308,106,499,Tuesday,May,False
2025-05-14,8.9,2.2,4.1,10,320,161,492,Wednesday,May,False
2025-05-15,8.6,4.3,3.0,139,139,64,343,Thursday,May,False
2025-05-16,8.0,1.8,5.0,39,295,51,387,Friday,May,False
2025-05-17,6.2,4.3,1.6,125,287,162,574,Saturday,May,True
2025-05-18,7.5,2.7,4.6,19,252,167,440,Sunday,May,True
2025-05-19,9.8,4.4,3.5,99,245,210,555,Monday,May,False
2025-05-20,7.8,1.9,4.4,0,348,124,472,Tuesday,May,False
2025-05-21,8.0,4.0,3.0,73,97,119,289,Wednesday,May,False
2025-05-22,8.4,3.8,3.4,147,369,117,635,Thursday,May,False
2025-05-23,6.6,3.5,2.3,107,258,138,504,Friday,May,False
2025-05-24,7.2,2.9,1.5,107,202,103,413,Saturday,May,True
2025-05-25,6.0,3.8,2.8,54,256,130,441,Sunday,May,True
2025-05-26,6.4,2.7,4.3,62,313,100,476,Monday,May,False
2025-05-27,8.0,3.5,3.4,68,307,164,539,Tuesday,May,False
2025-05-28,8.0,3.3,3.2,143,277,91,512,Wednesday,May,False
2025-05-29,7.4,3.2,3.5,4,250,191,447,Thursday,May,False
2025-05-30,6.7,4.7,4.0,63,362,162,589,Friday,May,False
2025-05-31,9.5,3.3,4.4,80,255,93,429,Saturday,May,True
